fascicle_id,centroid_y_um,centroid_z_um,diameter_um,area_um2
1,870.6,502.0,382.96,115183.34
2,-952.1,77.13,316.49,78670.32
3,-1242.67,-247.01,291.24,66619.65
4,593.39,407.19,284.8,63704.24
5,-15.3,138.84,221.98,38701.55
6,-743.3,-146.75,198.29,30879.56
7,-236.43,45.53,193.11,29287.42
8,1314.32,284.27,192.87,29216.8
9,1264.35,64.48,189.13,28094.04
10,-162.21,-364.86,186.02,27178.0
11,445.44,-407.3,184.1,26618.22
12,-651.67,-429.22,171.57,23119.56
13,933.84,172.93,170.24,22762.23
14,495.25,116.93,167.45,22022.53
15,205.9,-391.86,161.74,20546.31
16,243.51,293.24,160.04,20117.18
17,-470.91,-36.32,159.07,19871.95
18,334.55,28.82,158.81,19807.79
19,-1331.66,11.97,158.71,19783.43
20,87.4,8.46,157.36,19448.99
21,149.63,-145.89,152.42,18246.89
22,-878.46,-279.89,149.89,17645.13
23,775.93,85.21,147.79,17154.55
24,1010.36,22.51,141.87,15808.01
25,1285.19,-65.24,140.42,15485.51
26,352.52,407.0,137.84,14922.41
27,-441.36,-250.75,136.49,14632.65
28,1443.88,145.87,135.56,14433.53
29,846.24,-63.97,132.82,13856.1
30,1199.82,172.2,130.87,13452.15
31,470.12,-140.9,128.31,12929.57
32,-287.21,-187.89,124.12,12099.07
33,-87.12,-83.77,121.55,11604.65
34,635.76,-34.5,111.9,9834.12
35,-253.21,155.07,108.59,9261.97
36,506.72,-1.17,102.88,8313.28
37,639.01,55.52,98.82,7669.45
38,1110.24,195.35,95.87,7218.78
39,262.84,123.71,93.18,6818.55
40,58.09,-430.95,92.15,6668.79
41,1124.12,-44.67,87.36,5994.15
42,416.39,269.55,78.04,4783.23
43,-3.74,-144.57,76.89,4643.91
